Cell name	Sample name	Condition	Stage	General_classification	PMN clusters	Expressed genes	Mitochondrial reads percent	Ribosomal reads percent	Total count
765243	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1431	0.48080000000000001	0.070699999999999999	7072
241378	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1475	0.74539999999999995	0.039199999999999999	7647
57802	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1544	0.4834	0.15709999999999999	8274
34867	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1665	0.48349999999999999	0.25690000000000002	6618
713716	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1569	0.30070000000000002	0.069399999999999989	8646
289692	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1504	0.4214	0.1084	8305
47405	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1505	0.4299	0.094	7443
541424	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1665	0.41079999999999994	0.088000000000000009	6816
539264	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1537	0.67500000000000004	0.12859999999999999	6222
269959	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1685	0.45649999999999996	0.20619999999999999	6791
590549	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1509	0.65700000000000003	0.15059999999999998	7306
834112	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1558	0.62780000000000002	0.17520000000000002	6849
231867	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1574	0.50449999999999995	0.11210000000000001	7136
267581	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1588	0.34499999999999997	0.1411	6377
463270	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1380	0.52280000000000004	0.17430000000000001	6886
