"cell_id","cluster"
"X187623","1"
"X829144","1"
"X874093","2"
"X125470","1"
"X418427","1"
"X792073","1"
"X396325","1"
"X763186","1"
"X557478","2"
"X610886","2"
"X610149","2"
"X321634","1"
"X682592","1"
"X495389","1"
"X350693","1"
"X149352","1"
"X331852","1"
"X231559","1"
"X566601","1"
"X261062","1"
"X98488","1"
"X836793","1"
"X797389","1"
"X876894","1"
"X686019","1"
"X295077","1"
"X116354","1"
"X89401","1"
"X356725","1"
"X572173","1"
"X4670.1","1"
"X868132","1"
"X551369","1"
"X802306","1"
"X132216","3"
"X277705","2"
"X273574","1"
"X525208","1"
"X347538","1"
"X734331","1"
"X819233","2"
"X410196","1"
"X857635","1"
"X804043","2"
"X432232","1"
"X368968","1"
"X313478","1"
"X604276","1"
"X564866","1"
"X207366","2"
"X313821","1"
"X835256","1"
"X681630","1"
"X526475","1"
"X865820","1"
"X61726","2"
"X435021","2"
"X699218","1"
"X292873","3"
"X331069","1"
"X646425","1"
"X211498","1"
"X775389","2"
"X367957","1"
"X432662","1"
"X272383","1"
"X24859","2"
"X160844","1"
"X687517","2"
"X138022","1"
"X518573","1"
"X464392","1"
"X811706","1"
"X502560","2"
"X673400","2"
"X479859","1"
"X767332","1"
"X609117","2"
"X571032","1"
"X317323","1"
"X619239","1"
"X701735","1"
"X446389","1"
"X633688","1"
"X453831","1"
"X758558","1"
"X300361","1"
"X124576","1"
"X759542","1"
"X81233","1"
"X774585","1"
"X727767","1"
"X46753","1"
"X824635","2"
"X736040","1"
"X89170","2"
"X575473","1"
"X75002","1"
"X731439","2"
"X215491","1"
"X574436","1"
"X100506","2"
"X490156","1"
"X697842","1"
"X847405","1"
"X531698","1"
"X13541","2"
"X744704","1"
"X525528","1"
"X604327","1"
"X507120","2"
"X776879","1"
"X372080","2"
"X607966","1"
"X272134","1"
"X592134","1"
"X477157","1"
"X421232","1"
"X347926","1"
"X33521","2"
"X676249","1"
"X695193","1"
"X864024","1"
"X214728","2"
"X596809","2"
"X677765","1"
"X437950","1"
"X692163","1"
"X69755","2"
"X61434","2"
"X777800","2"
"X386874","1"
"X226773","2"
"X697007","2"
"X485214","1"
"X523780","1"
"X123379","1"
"X617785","1"
"X515887","2"
"X593116","1"
"X547770","1"
"X607201","2"
"X411554","1"
"X638542","1"
"X50062","1"
"X712487","2"
"X257262","1"
"X226267","1"
"X800575","1"
"X596616","1"
"X299954","1"
"X636608","1"
"X673794","1"
"X198720","1"
"X603809","1"
"X386438","1"
"X382538","1"
"X132343","1"
"X511569","2"
"X794877","1"
"X824882","1"
"X484541","1"
"X402483","1"
"X770353","2"
"X800576","1"
"X798377","1"
"X794140","1"
"X78490","1"
"X457298","1"
"X306754","1"
"X411652","1"
"X640429","1"
"X872166","2"
"X808412","2"
"X190200","1"
"X114766","1"
"X667833","1"
"X558929","1"
"X283922","1"
"X369095","2"
"X91295","1"
"X518880","1"
"X770039","1"
"X714814","1"
"X39009","2"
"X392700","1"
"X781889","2"
"X276221","1"
"X680775","1"
"X85614","1"
"X144142","2"
"X428194","1"
"X130135","2"
"X97056","1"
"X360049","1"
"X439774","1"
"X852424","1"
"X34022","1"
"X726262","1"
"X715145","1"
"X650866","2"
"X617787","2"
"X508132","1"
"X199381","1"
"X192758","1"
"X70437","1"
"X511594","1"
"X721937","1"
"X837134","1"
"X249267","1"
"X517954","1"
"X640711","1"
"X765833","2"
"X132193","2"
"X630346","1"
"X676970","2"
"X463803","2"
"X171109","1"
"X86668","1"
"X742688","1"
"X733987","1"
"X599200","1"
"X317411","1"
"X741756","1"
"X565993","2"
"X277708","1"
"X686223","1"
"X543608","1"
"X525687","1"
"X138071","1"
"X733957","1"
"X698471","2"
"X323551","2"
"X465942","1"
"X741183","1"
"X803661","1"
"X221857","1"
"X731496","1"
"X686917","2"
"X456798","1"
"X221262","1"
"X570817","1"
"X828355","1"
"X41459","1"
"X231563","1"
"X493968","1"
"X19152","1"
"X172903","1"
"X308844","1"
"X40545","2"
"X399918","1"
"X330301","1"
"X400839","2"
"X465342","1"
"X142672","2"
"X521536","1"
"X874853","1"
"X202826","1"
"X227261","1"
"X34426","1"
"X864221","2"
"X715856","1"
"X801070","1"
"X330063","1"
"X513415","2"
"X373268","2"
"X73558","1"
"X196645","1"
"X747404","2"
"X582710","1"
"X351717","1"
"X344358","1"
"X585764","2"
"X776564","2"
"X598128","1"
"X637572","2"
"X369201","3"
"X347527","2"
"X611473","2"
"X412663","1"
"X883720","1"
"X649019","1"
"X567754","1"
"X673427","2"
